subjectName,courseID,lecOrSection,enrollCode,days,time,location
AsianAmericanStudies,AS AM 5,0,02709,F,10:00am - 10:50am,HSSB 1228
AsianAmericanStudies,AS AM 5,0,02717,F,11:00am - 11:50am,HSSB 1236
AsianAmericanStudies,AS AM 5,0,02725,F,11:00am - 11:50am,ARTS 1349
AsianAmericanStudies,AS AM 5,0,02733,F,12:00pm - 12:50pm,ARTS 1353
AsianAmericanStudies,AS AM 5,0,02741,F,1:00pm - 1:50pm,ARTS 1353
AsianAmericanStudies,AS AM 5,0,02758,R,9:00 am - 9:50 am,HSSB 5024
AsianAmericanStudies,AS AM 5,0,02766,R,10:00am - 10:50am,HSSB 5024
AsianAmericanStudies,AS AM 5,0,02774,R,11:00am - 11:50am,HSSB 5024
AsianAmericanStudies,AS AM 100AA,1,STOHLER J E,T R,2:00pm - 3:15pm,GIRV 1112
AsianAmericanStudies,AS AM 100BB,1,WELTY L A,M W,9:30 am - 10:45am,GIRV 1115
AsianAmericanStudies,AS AM 100CC,1,ZULUETA B C,T R,9:30 am - 10:45am,GIRV 1112
AsianAmericanStudies,AS AM 100HH,1,ZULUETA B C,T R,11:00am - 12:15pm,GIRV 1112
AsianAmericanStudies,AS AM 110,1,TAKAMORI A,M W,5:00pm - 6:15pm,GIRV 1115
AsianAmericanStudies,AS AM 122,1,TY E,M W,8:00 am - 9:15 am,GIRV 1112
AsianAmericanStudies,AS AM 128,1,NINH E K,M W,2:00pm - 3:15pm,GIRV 1112
AsianAmericanStudies,AS AM 130,1,PARK J S W,M W,9:30 am - 10:45am,GIRV 1112
AsianAmericanStudies,AS AM 141,1,PANDYA S P,T R,2:00pm - 3:15pm,HSSB 1211
AsianAmericanStudies,AS AM 144,1,TRAN T N,T R,3:30pm - 4:45pm,PHELP1508
AsianAmericanStudies,AS AM 154,1,PARK J S W,M W,11:00am - 12:15pm,GIRV 1112
AsianAmericanStudies,AS AM 165,1,TAKAMORI A,M W,3:30pm - 4:45pm,GIRV 1115
AsianAmericanStudies,AS AM 175,1,ZHAO X,T,9:00 am - 12:00pm,HSSB 5024
AsianAmericanStudies,AS AM 197,1,PARK L S,M W,9:00 am - 10:15am,
AsianAmericanStudies,AS AM 197,1,ZULUETA B C,T R,9:00 am - 10:15am,
AsianAmericanStudies,AS AM 197,1,FUJINO D C,F,9:30 am - 10:45am,HSSB 5034
AsianAmericanStudies,AS AM 199,1,T B A,,,T B A
AsianAmericanStudies,AS AM 199RA,1,ZHAO X,T,1:00pm - 2:15pm,HSSB 5030
AsianAmericanStudies,AS AM 199RA,1,PARK J S W,W,1:00pm - 2:15pm,HSSB 5050
AsianAmericanStudies,AS AM 199RA,1,FUJINO D C,R,1:00pm - 2:15pm,HSSB 5034
AsianAmericanStudies,AS AM 199RA,1,PARK L S,M,1:00pm - 2:15pm,
Astronomy,ASTRO 1,1,ANTONUCCI R R,M W,2:00pm - 3:15pm,BRDA 1610
Astronomy,ASTRO 1,0,03087,R,1:00pm - 1:50pm,387 1015
Astronomy,ASTRO 1,0,03095,R,2:00pm - 2:50pm,PHELP1160
Astronomy,ASTRO 1,0,03103,R,3:00pm - 3:50pm,NH 1109
Astronomy,ASTRO 1,0,03111,R,4:00pm - 4:50pm,GIRV 2116
