,subjectName,courseID,lecOrSection,proName,enrollCode,days,time,location
212,AsianAmericanStudies,AS AM 4,0,PANDYA S P,2675,F,4:00pm - 4:50pm,HSSB 3201
213,AsianAmericanStudies,AS AM 4,0,PANDYA S P,66050,R,3:00pm - 3:50pm,GIRV 2110
214,AsianAmericanStudies,AS AM 5,1,NINH E K,,M W,5:00pm - 6:15pm,GIRV 1004
215,AsianAmericanStudies,AS AM 5,0,NINH E K,2691,F,9:00 am - 9:50 am,HSSB 5024
216,AsianAmericanStudies,AS AM 5,0,NINH E K,2709,F,10:00am - 10:50am,HSSB 1228
217,AsianAmericanStudies,AS AM 5,0,NINH E K,2717,F,11:00am - 11:50am,HSSB 1236
218,AsianAmericanStudies,AS AM 5,0,NINH E K,2725,F,11:00am - 11:50am,ARTS 1349
219,AsianAmericanStudies,AS AM 5,0,NINH E K,2733,F,12:00pm - 12:50pm,ARTS 1353
220,AsianAmericanStudies,AS AM 5,0,NINH E K,2741,F,1:00pm - 1:50pm,ARTS 1353
221,AsianAmericanStudies,AS AM 5,0,NINH E K,2758,R,9:00 am - 9:50 am,HSSB 5024
222,AsianAmericanStudies,AS AM 5,0,NINH E K,2766,R,10:00am - 10:50am,HSSB 5024
223,AsianAmericanStudies,AS AM 5,0,NINH E K,2774,R,11:00am - 11:50am,HSSB 5024
224,AsianAmericanStudies,AS AM 100AA,1,STOHLER J E,,T R,2:00pm - 3:15pm,GIRV 1112
225,AsianAmericanStudies,AS AM 100BB,1,WELTY L A,,M W,9:30 am - 10:45am,GIRV 1115
226,AsianAmericanStudies,AS AM 100CC,1,ZULUETA B C,,T R,9:30 am - 10:45am,GIRV 1112
227,AsianAmericanStudies,AS AM 100HH,1,ZULUETA B C,,T R,11:00am - 12:15pm,GIRV 1112
228,AsianAmericanStudies,AS AM 110,1,TAKAMORI A,,M W,5:00pm - 6:15pm,GIRV 1115
229,AsianAmericanStudies,AS AM 122,1,TY E,,M W,8:00 am - 9:15 am,GIRV 1112
230,AsianAmericanStudies,AS AM 128,1,NINH E K,,M W,2:00pm - 3:15pm,GIRV 1112
231,AsianAmericanStudies,AS AM 130,1,PARK J S W,,M W,9:30 am - 10:45am,GIRV 1112
232,AsianAmericanStudies,AS AM 141,1,PANDYA S P,,T R,2:00pm - 3:15pm,HSSB 1211
233,AsianAmericanStudies,AS AM 144,1,TRAN T N,,T R,3:30pm - 4:45pm,PHELP1508
234,AsianAmericanStudies,AS AM 154,1,PARK J S W,,M W,11:00am - 12:15pm,GIRV 1112
235,AsianAmericanStudies,AS AM 165,1,TAKAMORI A,,M W,3:30pm - 4:45pm,GIRV 1115
236,AsianAmericanStudies,AS AM 175,1,ZHAO X,,T,9:00 am - 12:00pm,HSSB 5024
237,AsianAmericanStudies,AS AM 197,1,PARK L S,,M W,9:00 am - 10:15am,
238,AsianAmericanStudies,AS AM 197,1,ZULUETA B C,,T R,9:00 am - 10:15am,
239,AsianAmericanStudies,AS AM 197,1,FUJINO D C,,F,9:30 am - 10:45am,HSSB 5034
240,AsianAmericanStudies,AS AM 199,1,T B A,,,,T B A
241,AsianAmericanStudies,AS AM 199RA,1,ZHAO X,,T,1:00pm - 2:15pm,HSSB 5030
242,AsianAmericanStudies,AS AM 199RA,1,PARK J S W,,W,1:00pm - 2:15pm,HSSB 5050
243,AsianAmericanStudies,AS AM 199RA,1,FUJINO D C,,R,1:00pm - 2:15pm,HSSB 5034
244,AsianAmericanStudies,AS AM 199RA,1,PARK L S,,M,1:00pm - 2:15pm,
245,Astronomy,ASTRO 1,1,ANTONUCCI R R,,M W,2:00pm - 3:15pm,BRDA 1610
246,Astronomy,ASTRO 1,0,ANTONUCCI R R,3087,R,1:00pm - 1:50pm,387 1015
247,Astronomy,ASTRO 1,0,ANTONUCCI R R,3095,R,2:00pm - 2:50pm,PHELP1160
248,Astronomy,ASTRO 1,0,ANTONUCCI R R,3103,R,3:00pm - 3:50pm,NH 1109
249,Astronomy,ASTRO 1,0,ANTONUCCI R R,3111,R,4:00pm - 4:50pm,GIRV 2116
250,Astronomy,ASTRO 1,0,ANTONUCCI R R,55624,F,10:00am - 10:50am,GIRV 2108
251,Astronomy,ASTRO 1,0,ANTONUCCI R R,55632,F,11:00am - 11:50am,PHELP1448
252,Astronomy,ASTRO 1H,1,ANTONUCCI R R,,R,3:30pm - 4:45pm,NH 1105
253,Biology,BIOL CS 20,1,TYLER C M||LATTO J G||,,M W,11:00am - 12:15pm,CRST 143
254,Biology,BIOL CS 101,1,TYLER C M||LATTO J G||,,W,1:00pm - 2:15pm,CRST 143
255,Biology(CreativeStudies),BIOL CS 20,1,T B A,,M W,11:00am - 12:15pm,CRST 143
256,Biology(CreativeStudies),BIOL CS 101,1,T B A,,W,1:00pm - 2:15pm,CRST 143
257,BiomolecularScienceandEngineering,BMSE 199,1,T B A,,,,T B A
258,BlackStudies,BL ST 1,1,BANKS I,,M W,12:30pm - 1:45pm,PSYCH1924
259,BlackStudies,BL ST 1,0,BANKS I,3574,T,8:00 am - 8:50 am,SH 3707
260,BlackStudies,BL ST 1,0,BANKS I,3582,T,9:00 am - 9:50 am,SH 3707
261,BlackStudies,BL ST 1,0,BANKS I,3590,T,10:00am - 10:50am,SH 3707
262,BlackStudies,BL ST 1,0,BANKS I,3608,T,11:00am - 11:50am,SH 3707
263,BlackStudies,BL ST 1,0,BANKS I,3616,T,12:00pm - 12:50pm,SH 3707
264,BlackStudies,BL ST 1,0,BANKS I,3624,T,1:00pm - 1:50pm,SH 3707
265,BlackStudies,BL ST 4,1,BASHI TREITLE,,T R,3:30pm - 4:45pm,LSB 1001
266,BlackStudies,BL ST 4,0,BASHI TREITLE,63511,R,8:00 am - 8:50 am,SH 3707
267,BlackStudies,BL ST 4,0,BASHI TREITLE,63529,R,9:00 am - 9:50 am,SH 3707
268,BlackStudies,BL ST 4,0,BASHI TREITLE,63537,R,10:00am - 10:50am,SH 3707
269,BlackStudies,BL ST 4,0,BASHI TREITLE,63545,R,11:00am - 11:50am,SH 3707
270,BlackStudies,BL ST 4,0,BASHI TREITLE,63552,R,12:00pm - 12:50pm,SH 3707
271,BlackStudies,BL ST 4,0,BASHI TREITLE,63560,R,1:00pm - 1:50pm,SH 3707
272,BlackStudies,BL ST 6,1,LIPSITZ G R,,T R,3:30pm - 4:45pm,BUCHN1940
273,BlackStudies,BL ST 6,0,LIPSITZ G R,3640,W,8:00 am - 8:50 am,SH 3707
274,BlackStudies,BL ST 6,0,LIPSITZ G R,3657,W,2:00pm - 2:50pm,SH 3707
275,BlackStudies,BL ST 6,0,LIPSITZ G R,3665,W,3:00pm - 3:50pm,SH 3707
276,BlackStudies,BL ST 6,0,LIPSITZ G R,3673,W,4:00pm - 4:50pm,SH 3707
